"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2015","EQ","2,950.00","3,033.00","2,613.00","2,947.55","2,886.80","2,939.35","2,978.33","3,140.75","893.00","1,67,194","49,79,58,276.10","11,155"
"31-Dec-2014","EQ","2,808.00","2,999.00","2,808.00","2,808.75","2,950.00","2,947.55","2,935.03","3,140.75","893.00","4,03,917","1,18,55,08,286.85","34,425"
"30-Dec-2014","EQ","2,740.00","2,867.00","2,737.05","2,730.70","2,805.00","2,808.75","2,810.42","3,140.75","893.00","2,19,229","61,61,24,549.00","15,788"
"29-Dec-2014","EQ","2,750.00","2,788.00","2,725.00","2,726.75","2,729.90","2,730.70","2,747.27","3,140.75","893.00","84,352","23,17,38,057.75","6,419"
"26-Dec-2014","EQ","2,727.25","2,757.00","2,720.00","2,726.90","2,725.00","2,726.75","2,731.73","3,140.75","893.00","51,099","13,95,88,829.45","3,292"
"24-Dec-2014","EQ","2,719.00","2,760.00","2,690.00","2,736.50","2,725.00","2,726.90","2,727.68","3,140.75","893.00","65,569","17,88,51,548.15","5,589"
"23-Dec-2014","EQ","2,752.00","2,774.00","2,710.35","2,768.50","2,735.00","2,736.50","2,747.28","3,140.75","893.00","56,555","15,53,72,582.80","4,083"
"22-Dec-2014","EQ","2,824.00","2,829.10","2,737.00","2,798.10","2,750.00","2,768.50","2,780.87","3,140.75","893.00","78,516","21,83,43,140.40","6,368"
"19-Dec-2014","EQ","2,836.40","2,869.70","2,778.00","2,785.10","2,805.00","2,798.10","2,825.47","3,140.75","893.00","1,08,465","30,64,64,294.95","8,531"
"18-Dec-2014","EQ","2,702.00","2,802.50","2,697.90","2,651.65","2,786.10","2,785.10","2,772.87","3,140.75","893.00","2,13,804","59,28,50,697.70","14,025"
"17-Dec-2014","EQ","2,633.50","2,715.00","2,612.25","2,652.50","2,653.90","2,651.65","2,664.39","3,140.75","893.00","1,43,546","38,24,62,022.90","11,139"
"16-Dec-2014","EQ","2,690.00","2,712.40","2,591.30","2,716.40","2,655.00","2,652.50","2,649.84","3,140.75","893.00","1,98,649","52,63,88,135.35","12,564"
"15-Dec-2014","EQ","2,784.00","2,828.80","2,702.05","2,798.45","2,728.00","2,716.40","2,754.97","3,140.75","893.00","1,46,662","40,40,49,616.15","10,770"
"12-Dec-2014","EQ","2,939.70","2,986.00","2,760.05","2,891.90","2,803.00","2,798.45","2,870.50","3,140.75","893.00","2,47,739","71,11,33,688.65","18,573"
"11-Dec-2014","EQ","2,835.00","2,920.00","2,760.00","2,812.15","2,913.00","2,891.90","2,851.14","3,140.75","893.00","2,57,851","73,51,68,237.45","17,556"
"10-Dec-2014","EQ","2,868.95","2,934.00","2,783.10","2,844.80","2,825.00","2,812.15","2,863.49","3,140.75","893.00","1,96,198","56,18,11,474.40","15,314"
"09-Dec-2014","EQ","2,830.00","2,975.00","2,808.05","2,814.05","2,854.40","2,844.80","2,890.64","3,140.75","893.00","3,08,639","89,21,65,634.30","23,824"
"08-Dec-2014","EQ","2,870.00","2,958.00","2,792.00","2,894.35","2,803.05","2,814.05","2,868.50","3,140.75","893.00","3,10,944","89,19,43,334.45","24,936"
"05-Dec-2014","EQ","2,920.00","3,140.75","2,850.00","2,929.90","2,855.00","2,894.35","3,022.58","3,140.75","893.00","6,61,444","1,99,92,66,710.25","40,843"
"04-Dec-2014","EQ","2,648.00","2,985.00","2,627.40","2,633.25","2,889.00","2,929.90","2,857.73","2,985.00","893.00","9,50,580","2,71,64,99,072.35","56,538"
"03-Dec-2014","EQ","2,558.00","2,688.00","2,551.05","2,514.95","2,634.00","2,633.25","2,645.75","2,688.00","893.00","3,93,330","1,04,06,54,399.70","19,949"
"02-Dec-2014","EQ","2,322.00","2,549.00","2,303.80","2,305.90","2,540.00","2,514.95","2,450.80","2,549.00","893.00","7,12,499","1,74,61,92,874.00","35,117"
"01-Dec-2014","EQ","2,315.05","2,328.00","2,285.00","2,321.65","2,310.00","2,305.90","2,307.87","2,375.00","893.00","88,014","20,31,25,072.35","2,529"
"28-Nov-2014","EQ","2,317.00","2,334.00","2,306.00","2,304.55","2,312.00","2,321.65","2,321.57","2,375.00","893.00","1,12,477","26,11,22,984.50","3,354"
"27-Nov-2014","EQ","2,302.20","2,337.00","2,292.40","2,302.20","2,303.10","2,304.55","2,310.06","2,375.00","893.00","1,18,671","27,41,37,220.80","4,650"
"26-Nov-2014","EQ","2,278.20","2,312.70","2,262.75","2,280.05","2,301.00","2,302.20","2,300.60","2,375.00","893.00","1,48,680","34,20,53,423.50","3,529"
"25-Nov-2014","EQ","2,323.70","2,329.00","2,250.40","2,303.70","2,278.20","2,280.05","2,291.14","2,375.00","893.00","1,09,267","25,03,45,927.30","5,238"
"24-Nov-2014","EQ","2,210.05","2,334.65","2,205.65","2,191.55","2,305.00","2,303.70","2,282.82","2,375.00","893.00","2,28,018","52,05,23,047.55","12,048"
"21-Nov-2014","EQ","2,181.00","2,229.80","2,181.00","2,197.75","2,190.00","2,191.55","2,201.25","2,375.00","893.00","1,00,243","22,06,59,487.65","3,937"
"20-Nov-2014","EQ","2,236.00","2,264.30","2,190.05","2,239.40","2,192.00","2,197.75","2,221.44","2,375.00","893.00","53,512","11,88,73,673.40","4,311"
"19-Nov-2014","EQ","2,256.00","2,295.00","2,225.00","2,264.15","2,236.00","2,239.40","2,259.22","2,375.00","893.00","55,744","12,59,37,936.80","4,459"
"18-Nov-2014","EQ","2,294.00","2,333.00","2,244.95","2,280.45","2,260.30","2,264.15","2,291.76","2,375.00","893.00","71,114","16,29,76,027.30","4,529"
