"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2019","EQ","88.40","88.75","87.10","87.95","87.30","87.45","87.76","185.20","74.25","34,92,676","30,65,05,411.55","13,298"
"31-Dec-2018","EQ","86.40","89.70","86.30","87.90","87.80","87.95","88.21","185.20","74.25","1,05,12,423","92,72,74,428.00","38,689"
"28-Dec-2018","EQ","87.00","88.25","86.60","86.15","87.90","87.90","87.63","189.45","74.25","74,63,904","65,40,67,746.90","28,046"
"27-Dec-2018","EQ","90.25","90.50","85.65","88.70","86.60","86.15","87.17","189.45","74.25","2,48,98,982","2,17,03,37,358.00","72,175"
"26-Dec-2018","EQ","87.75","89.50","85.25","87.95","88.75","88.70","87.84","189.45","74.25","1,26,11,262","1,10,77,97,159.20","47,318"
"24-Dec-2018","EQ","88.40","89.35","87.20","88.40","87.90","87.95","88.18","189.45","74.25","1,10,44,751","97,38,98,823.65","38,361"
"21-Dec-2018","EQ","91.15","94.80","88.00","90.30","88.10","88.40","90.89","189.45","74.25","3,77,83,500","3,43,42,49,314.15","1,65,589"
"20-Dec-2018","EQ","85.85","90.95","85.40","86.65","90.45","90.30","88.82","189.45","74.25","2,08,86,154","1,85,52,09,956.10","85,272"
"19-Dec-2018","EQ","84.65","87.30","84.40","84.35","86.70","86.65","86.08","189.45","74.25","1,18,79,532","1,02,25,43,405.65","59,052"
"18-Dec-2018","EQ","83.30","84.60","82.85","83.75","84.25","84.35","83.79","189.45","74.25","89,60,701","75,08,42,403.15","40,360"
"17-Dec-2018","EQ","82.80","84.50","82.75","82.40","83.30","83.75","83.53","189.45","74.25","80,10,840","66,91,11,910.45","29,393"
"14-Dec-2018","EQ","84.90","84.90","81.25","84.40","82.40","82.40","82.62","189.45","74.25","99,03,654","81,82,62,219.70","35,404"
"13-Dec-2018","EQ","81.10","85.15","80.65","80.20","84.90","84.40","83.11","189.45","74.25","1,72,40,148","1,43,27,67,053.10","43,685"
"12-Dec-2018","EQ","79.40","81.90","79.25","78.75","80.05","80.20","80.43","189.45","74.25","81,07,030","65,20,79,681.70","41,971"
"11-Dec-2018","EQ","76.50","79.80","75.00","77.65","78.75","78.75","77.17","189.45","74.25","1,65,42,316","1,27,65,06,173.95","53,113"
"10-Dec-2018","EQ","78.10","80.30","76.80","80.10","78.00","77.65","78.44","189.45","74.25","2,00,09,761","1,56,96,47,445.40","93,935"
"07-Dec-2018","EQ","82.30","82.55","80.00","81.80","80.10","80.10","80.94","189.45","74.25","72,72,768","58,86,93,302.35","23,941"
"06-Dec-2018","EQ","81.55","84.00","81.50","82.70","81.95","81.80","82.42","189.45","74.25","72,04,271","59,37,82,378.80","43,190"
"05-Dec-2018","EQ","83.05","83.90","81.00","83.90","83.10","82.70","82.39","189.45","74.25","55,01,276","45,32,42,957.05","24,583"
"04-Dec-2018","EQ","85.00","86.40","83.50","85.20","83.90","83.90","84.61","189.45","74.25","48,79,265","41,28,58,847.65","26,648"
"03-Dec-2018","EQ","84.15","86.45","82.40","83.25","85.25","85.20","84.62","189.45","74.25","1,02,41,635","86,66,84,287.40","42,656"
"30-Nov-2018","EQ","84.75","85.40","82.75","84.80","83.00","83.25","83.68","193.40","74.25","1,17,36,238","98,20,33,329.50","47,528"
"29-Nov-2018","EQ","89.00","89.20","83.50","88.70","84.10","84.80","85.15","193.40","74.25","2,67,27,484","2,27,58,82,538.60","1,19,939"
"28-Nov-2018","EQ","93.65","94.00","88.25","93.15","88.45","88.70","91.27","193.40","74.25","98,21,917","89,64,73,250.80","48,951"
"27-Nov-2018","EQ","95.00","95.50","92.60","95.90","93.25","93.15","93.57","193.40","74.25","45,87,259","42,92,45,878.50","26,373"
"26-Nov-2018","EQ","94.80","96.15","93.10","93.75","96.05","95.90","94.68","193.40","74.25","68,34,501","64,70,96,790.90","20,472"
"22-Nov-2018","EQ","94.30","94.75","93.20","94.25","93.75","93.75","93.93","193.40","74.25","34,32,013","32,23,69,666.70","12,654"
"21-Nov-2018","EQ","93.45","95.15","92.30","92.90","94.10","94.25","93.58","193.40","74.25","36,36,868","34,03,54,326.25","16,520"
"20-Nov-2018","EQ","93.95","96.00","92.30","93.90","92.80","92.90","94.16","193.40","74.25","70,64,888","66,52,46,745.05","40,376"
"19-Nov-2018","EQ","93.00","94.50","92.40","92.85","93.65","93.90","93.50","193.40","74.25","36,01,789","33,67,74,606.70","20,011"
"16-Nov-2018","EQ","97.00","97.05","91.60","96.70","92.55","92.85","93.33","193.40","74.25","59,92,401","55,92,43,236.10","57,050"
"15-Nov-2018","EQ","95.70","97.45","94.05","95.80","96.70","96.70","95.96","193.40","74.25","29,46,050","28,27,00,161.00","16,704"
"14-Nov-2018","EQ","95.45","97.95","94.20","94.60","95.60","95.80","96.29","193.40","74.25","55,05,739","53,01,68,423.80","23,475"
"13-Nov-2018","EQ","95.00","95.30","92.70","95.05","94.65","94.60","94.09","193.40","74.25","37,65,515","35,43,01,222.75","18,146"
"12-Nov-2018","EQ","98.70","99.30","94.50","98.65","95.10","95.05","96.72","193.40","74.25","43,93,182","42,49,24,986.50","22,502"
"09-Nov-2018","EQ","95.50","99.25","95.30","95.45","98.10","98.65","98.32","193.40","74.25","88,92,319","87,42,52,594.85","47,602"
"07-Nov-2018","EQ","95.95","95.95","95.15","95.25","95.50","95.45","95.46","193.40","74.25","4,90,385","4,68,10,703.60","4,372"
"06-Nov-2018","EQ","95.75","96.75","94.70","95.10","94.85","95.25","95.76","193.40","74.25","43,11,780","41,28,89,595.55","19,106"
"05-Nov-2018","EQ","95.05","96.70","93.05","95.00","95.55","95.10","94.99","193.40","74.25","42,07,017","39,96,40,103.10","20,192"
"02-Nov-2018","EQ","98.30","98.90","94.55","97.50","95.10","95.00","96.71","193.40","74.25","68,39,887","66,14,72,561.00","29,162"
"01-Nov-2018","EQ","93.35","98.50","93.20","93.05","96.75","97.50","96.78","193.40","74.25","1,93,77,238","1,87,52,79,410.80","86,307"
"31-Oct-2018","EQ","89.00","93.40","89.00","89.85","92.90","93.05","91.84","193.40","74.25","1,15,45,323","1,06,02,92,691.80","53,173"
"30-Oct-2018","EQ","86.40","91.00","86.40","86.40","90.35","89.85","89.48","193.40","74.25","1,78,45,565","1,59,68,25,301.45","69,748"
"29-Oct-2018","EQ","89.00","91.00","86.05","88.25","86.25","86.40","87.85","193.40","74.25","1,30,88,176","1,14,97,52,599.75","58,401"
"26-Oct-2018","EQ","83.20","91.00","81.55","83.35","87.90","88.25","87.62","193.40","74.25","2,41,39,398","2,11,51,69,720.90","86,485"
"25-Oct-2018","EQ","83.80","85.20","82.00","84.70","82.85","83.35","83.28","193.40","74.25","91,13,303","75,89,33,971.15","28,797"
"24-Oct-2018","EQ","88.00","88.40","84.00","87.05","84.60","84.70","85.81","193.40","74.25","68,29,668","58,60,78,297.45","34,711"
"23-Oct-2018","EQ","84.35","87.50","84.10","84.70","87.05","87.05","86.51","193.40","74.25","73,16,585","63,29,75,090.20","27,033"
"22-Oct-2018","EQ","83.90","86.00","82.75","83.10","85.50","84.70","84.14","193.40","74.25","62,22,707","52,35,59,175.50","18,866"
"19-Oct-2018","EQ","84.90","86.20","82.20","85.50","83.15","83.10","83.32","193.40","74.25","76,36,564","63,63,07,569.10","38,557"
"17-Oct-2018","EQ","88.60","89.25","84.85","88.00","85.30","85.50","86.66","193.40","74.25","39,24,030","34,00,43,135.45","19,362"
"16-Oct-2018","EQ","87.55","88.50","86.75","87.25","88.20","88.00","87.74","193.40","74.25","43,54,001","38,20,00,278.60","18,599"
"15-Oct-2018","EQ","86.45","88.10","84.30","85.55","87.10","87.25","86.66","193.40","74.25","57,22,465","49,59,02,127.70","25,718"
"12-Oct-2018","EQ","86.00","87.40","84.80","84.90","85.60","85.55","86.06","193.40","74.25","76,73,912","66,03,89,337.50","34,689"
"11-Oct-2018","EQ","78.50","86.50","77.70","81.45","85.50","84.90","83.68","193.40","74.25","1,42,98,932","1,19,65,55,134.20","62,750"
"10-Oct-2018","EQ","77.00","81.80","76.65","75.90","81.60","81.45","79.58","193.40","74.25","86,96,864","69,21,20,353.00","36,605"
"09-Oct-2018","EQ","77.15","78.75","74.80","77.15","75.70","75.90","76.99","193.40","74.25","94,32,031","72,62,08,811.60","63,198"
