"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2020","EQ","100.30","100.95","99.40","100.05","100.30","100.15","100.13","122.10","72.50","51,46,098","51,53,00,690.85","12,979"
"31-Dec-2019","EQ","100.20","102.00","99.60","99.95","100.00","100.05","100.81","122.10","72.50","74,89,544","75,50,10,284.10","21,170"
"30-Dec-2019","EQ","100.15","100.80","99.60","99.70","99.95","99.95","100.17","122.10","72.50","31,92,611","31,98,18,002.20","10,614"
"27-Dec-2019","EQ","99.30","101.75","99.15","98.85","99.85","99.70","100.16","122.10","72.50","58,69,030","58,78,29,618.55","20,153"
"26-Dec-2019","EQ","99.60","100.70","98.35","99.60","98.85","98.85","99.70","122.10","72.50","75,08,570","74,85,95,055.05","14,612"
"24-Dec-2019","EQ","98.85","99.80","98.50","98.85","99.65","99.60","99.17","122.10","72.50","36,78,648","36,48,21,454.10","10,221"
"23-Dec-2019","EQ","98.70","100.05","98.50","98.80","98.50","98.85","99.05","122.10","72.50","76,20,889","75,48,60,757.05","19,010"
"20-Dec-2019","EQ","100.15","100.40","98.50","100.10","98.75","98.80","99.51","122.10","72.50","33,73,699","33,57,24,415.65","11,889"
"19-Dec-2019","EQ","100.25","100.80","99.50","100.45","100.00","100.10","100.10","122.10","72.50","33,86,721","33,90,27,195.00","10,756"
"18-Dec-2019","EQ","100.35","100.75","99.65","100.20","100.35","100.45","100.16","122.10","72.50","44,68,054","44,75,11,769.00","14,307"
"17-Dec-2019","EQ","101.05","101.45","100.00","101.05","100.15","100.20","100.50","122.10","72.50","41,31,222","41,51,72,892.45","13,554"
"16-Dec-2019","EQ","100.40","102.30","99.50","100.00","101.10","101.05","101.21","122.10","72.50","64,08,768","64,86,17,435.60","19,350"
"13-Dec-2019","EQ","99.80","101.20","98.50","98.80","100.15","100.00","99.80","122.10","72.50","94,30,830","94,12,09,044.15","26,585"
"12-Dec-2019","EQ","99.30","99.45","97.65","98.45","98.65","98.80","98.45","122.10","72.50","1,08,63,973","1,06,95,97,356.40","25,756"
"11-Dec-2019","EQ","100.70","100.70","96.55","99.70","98.20","98.45","98.30","122.10","72.50","1,32,84,253","1,30,58,68,342.25","62,558"
"10-Dec-2019","EQ","102.85","102.90","97.75","102.50","99.65","99.70","99.59","122.10","72.50","1,18,55,127","1,18,06,24,580.25","48,842"
"09-Dec-2019","EQ","102.80","105.00","102.05","102.65","102.60","102.50","103.47","122.10","72.50","60,51,685","62,61,69,527.80","44,095"
"06-Dec-2019","EQ","102.50","104.00","101.50","102.05","102.30","102.65","102.74","122.10","72.50","82,64,677","84,91,44,559.65","30,070"
"05-Dec-2019","EQ","101.80","103.30","101.45","101.25","102.05","102.05","102.49","122.10","72.50","63,57,842","65,16,32,909.60","38,619"
"04-Dec-2019","EQ","101.20","101.80","100.10","101.00","101.40","101.25","100.91","122.10","72.50","61,37,116","61,92,89,677.05","15,007"
"03-Dec-2019","EQ","102.75","103.20","100.45","103.10","100.90","101.00","101.75","122.10","72.50","86,74,060","88,25,55,649.35","26,187"
"02-Dec-2019","EQ","103.30","103.60","100.75","103.10","103.15","103.10","102.08","122.10","72.50","67,28,781","68,68,62,112.00","26,909"
"29-Nov-2019","EQ","104.55","105.40","102.65","104.30","102.80","103.10","103.77","122.10","72.50","48,87,239","50,71,44,982.10","28,034"
"28-Nov-2019","EQ","103.05","105.25","102.25","103.05","104.45","104.30","103.75","122.10","72.50","74,79,942","77,60,77,502.05","23,128"
"27-Nov-2019","EQ","103.50","104.50","102.60","103.15","103.05","103.05","103.27","122.10","72.50","42,65,594","44,05,26,835.90","18,315"
"26-Nov-2019","EQ","107.95","108.80","102.60","106.75","103.40","103.15","105.19","122.10","72.50","1,06,20,318","1,11,72,03,575.70","40,832"
"25-Nov-2019","EQ","108.35","108.95","104.90","109.45","106.90","106.75","106.50","122.10","72.50","1,10,95,885","1,18,17,25,239.30","1,15,061"
"22-Nov-2019","EQ","110.20","110.80","108.00","110.40","109.25","109.45","109.57","122.10","72.50","57,57,149","63,08,19,221.10","19,726"
"21-Nov-2019","EQ","110.60","111.35","109.70","110.80","110.20","110.40","110.79","122.10","72.50","40,77,761","45,17,95,028.85","19,909"
"20-Nov-2019","EQ","111.95","112.75","110.40","111.45","110.85","110.80","111.47","122.10","72.50","69,44,846","77,41,24,079.85","22,946"
"19-Nov-2019","EQ","109.75","112.00","109.60","109.90","111.40","111.45","110.74","122.10","72.50","39,83,462","44,11,37,912.40","21,278"
"18-Nov-2019","EQ","111.05","112.30","109.55","111.25","109.80","109.90","110.66","122.10","72.50","59,11,062","65,40,88,615.75","22,295"
"15-Nov-2019","EQ","109.70","112.35","109.60","109.30","111.00","111.25","111.11","122.10","72.50","53,62,733","59,58,35,759.30","29,727"
"14-Nov-2019","EQ","109.45","110.90","108.80","109.10","109.55","109.30","109.65","122.10","72.50","59,99,657","65,78,32,729.65","27,216"
"13-Nov-2019","EQ","108.80","109.60","107.20","108.85","109.20","109.10","108.70","122.10","72.50","89,86,255","97,67,99,924.70","38,189"
"11-Nov-2019","EQ","109.15","110.15","107.75","109.45","109.00","108.85","108.77","122.10","72.50","74,34,237","80,86,31,020.40","40,259"
"08-Nov-2019","EQ","108.65","112.80","108.65","108.90","109.40","109.45","111.13","122.10","72.50","1,33,85,907","1,48,76,21,677.75","60,063"
"07-Nov-2019","EQ","109.55","110.25","107.70","109.40","108.65","108.90","108.63","122.10","72.50","87,15,227","94,67,08,808.10","46,008"
"06-Nov-2019","EQ","112.45","112.50","108.15","112.60","109.25","109.40","109.72","122.10","72.50","1,68,07,674","1,84,41,06,209.00","63,028"
"05-Nov-2019","EQ","115.30","115.90","111.60","119.50","112.50","112.60","113.47","122.10","72.50","2,09,62,769","2,37,87,28,378.25","76,674"
"04-Nov-2019","EQ","121.05","122.10","119.05","120.40","119.25","119.50","120.17","122.10","72.50","1,08,86,660","1,30,82,28,626.35","38,840"
"01-Nov-2019","EQ","118.80","121.75","118.10","118.15","120.25","120.40","120.03","122.10","72.50","85,65,591","1,02,81,02,441.15","37,345"
"31-Oct-2019","EQ","119.85","120.40","117.65","119.35","118.20","118.15","118.64","122.10","72.50","79,02,074","93,74,99,642.55","37,903"
"30-Oct-2019","EQ","119.90","122.10","117.70","118.70","118.65","119.35","119.12","122.10","72.50","93,64,442","1,11,54,61,079.50","61,796"
"29-Oct-2019","EQ","117.30","120.40","116.70","116.65","118.55","118.70","118.73","121.00","72.50","93,26,288","1,10,73,39,083.45","49,186"
