"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2013","EQ","1,616.20","1,632.75","1,615.65","1,607.15","1,623.60","1,624.90","1,626.20","1,720.00","990.70","7,65,187","1,24,43,47,633.70","20,339"
"31-Dec-2012","EQ","1,621.15","1,623.70","1,602.15","1,619.95","1,604.95","1,607.15","1,610.85","1,720.00","990.70","5,91,654","95,30,64,017.75","35,454"
"28-Dec-2012","EQ","1,620.00","1,629.50","1,609.40","1,612.85","1,621.15","1,619.95","1,620.04","1,720.00","990.50","6,71,364","1,08,76,37,018.15","27,935"
"27-Dec-2012","EQ","1,628.65","1,632.75","1,608.50","1,622.35","1,616.50","1,612.85","1,620.01","1,720.00","990.50","12,18,355","1,97,37,45,876.00","42,114"
"26-Dec-2012","EQ","1,591.00","1,624.50","1,585.50","1,585.30","1,622.60","1,622.35","1,611.86","1,720.00","990.50","9,53,479","1,53,68,78,575.20","48,798"
"24-Dec-2012","EQ","1,604.00","1,604.00","1,572.60","1,590.10","1,589.80","1,585.30","1,584.29","1,720.00","990.50","10,58,652","1,67,72,09,063.10","50,422"
"21-Dec-2012","EQ","1,604.50","1,618.75","1,582.00","1,617.50","1,586.50","1,590.10","1,602.64","1,720.00","969.15","13,06,398","2,09,36,88,958.95","58,550"
"20-Dec-2012","EQ","1,635.00","1,642.55","1,610.50","1,633.50","1,615.95","1,617.50","1,620.25","1,720.00","969.15","18,13,848","2,93,88,89,366.00","55,563"
"19-Dec-2012","EQ","1,669.00","1,673.50","1,627.05","1,656.95","1,633.00","1,633.50","1,643.90","1,720.00","969.15","12,68,140","2,08,46,90,528.75","68,288"
"18-Dec-2012","EQ","1,640.00","1,662.40","1,634.00","1,634.40","1,658.95","1,656.95","1,652.71","1,720.00","969.15","12,79,982","2,11,54,33,185.75","54,528"
"17-Dec-2012","EQ","1,634.80","1,645.00","1,621.20","1,639.15","1,634.90","1,634.40","1,635.22","1,720.00","969.15","5,70,490","93,28,77,962.35","34,856"
"14-Dec-2012","EQ","1,631.50","1,649.00","1,626.35","1,626.70","1,637.25","1,639.15","1,639.37","1,720.00","969.15","9,67,139","1,58,54,93,946.95","37,448"
"13-Dec-2012","EQ","1,650.25","1,654.50","1,621.05","1,647.60","1,626.00","1,626.70","1,633.64","1,720.00","969.15","9,64,725","1,57,60,13,037.35","37,608"
"12-Dec-2012","EQ","1,672.10","1,675.50","1,641.10","1,667.65","1,643.75","1,647.60","1,654.98","1,720.00","969.15","11,87,064","1,96,45,67,491.10","56,937"
"11-Dec-2012","EQ","1,670.00","1,679.90","1,651.00","1,664.75","1,669.00","1,667.65","1,666.15","1,720.00","969.15","10,29,789","1,71,57,83,801.30","55,935"
"10-Dec-2012","EQ","1,678.25","1,682.55","1,660.00","1,675.45","1,663.60","1,664.75","1,666.96","1,720.00","969.15","5,32,489","88,76,38,508.05","24,964"
"07-Dec-2012","EQ","1,681.00","1,699.00","1,668.00","1,674.50","1,668.00","1,675.45","1,684.03","1,720.00","969.15","13,64,183","2,29,73,25,235.90","52,529"
"06-Dec-2012","EQ","1,681.00","1,683.00","1,641.55","1,666.65","1,682.80","1,674.50","1,661.51","1,720.00","969.15","14,05,088","2,33,45,61,089.55","51,885"
"05-Dec-2012","EQ","1,666.40","1,681.35","1,660.00","1,658.90","1,665.00","1,666.65","1,671.97","1,720.00","969.15","10,74,920","1,79,72,36,919.50","47,550"
"04-Dec-2012","EQ","1,665.65","1,667.00","1,644.20","1,667.35","1,659.00","1,658.90","1,656.05","1,720.00","969.15","8,45,366","1,39,99,64,551.05","53,941"
"03-Dec-2012","EQ","1,674.65","1,685.00","1,652.05","1,667.90","1,669.00","1,667.35","1,669.17","1,720.00","969.15","8,53,100","1,42,39,71,669.80","44,256"
