"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2015","EQ","1,493.80","1,506.90","1,492.00","1,494.65","1,503.95","1,502.95","1,500.79","1,776.60","951.50","4,49,532","67,46,54,517.75","15,240"
"31-Dec-2014","EQ","1,493.25","1,505.80","1,492.00","1,498.25","1,494.00","1,494.65","1,497.35","1,776.60","951.50","8,37,144","1,25,35,01,636.50","29,766"
"30-Dec-2014","EQ","1,504.20","1,511.00","1,493.30","1,490.30","1,501.60","1,498.25","1,502.64","1,776.60","951.50","9,15,873","1,37,62,24,772.65","39,522"
"29-Dec-2014","EQ","1,495.15","1,506.00","1,486.20","1,490.20","1,489.00","1,490.30","1,495.98","1,776.60","951.50","7,95,796","1,19,04,97,288.15","78,388"
"26-Dec-2014","EQ","1,483.20","1,497.90","1,477.00","1,477.85","1,490.00","1,490.20","1,487.39","1,776.60","951.50","6,73,953","1,00,24,30,407.25","26,579"
"24-Dec-2014","EQ","1,498.10","1,507.45","1,470.55","1,497.80","1,477.00","1,477.85","1,484.26","1,776.60","951.50","30,37,354","4,50,82,37,078.65","72,268"
"23-Dec-2014","EQ","1,525.00","1,539.40","1,492.40","1,524.20","1,495.00","1,497.80","1,515.58","1,776.60","951.50","11,47,836","1,73,96,37,514.30","44,859"
"22-Dec-2014","EQ","1,538.00","1,543.90","1,514.55","1,535.15","1,525.25","1,524.20","1,524.70","1,776.60","951.50","8,81,224","1,34,36,00,764.20","32,014"
"19-Dec-2014","EQ","1,523.65","1,546.70","1,518.00","1,506.40","1,534.70","1,535.15","1,536.38","1,776.60","951.50","22,71,350","3,48,96,55,221.90","93,830"
"18-Dec-2014","EQ","1,495.25","1,509.00","1,479.35","1,468.50","1,507.60","1,506.40","1,496.94","1,776.60","951.50","18,76,910","2,80,96,16,787.95","62,832"
