"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2014","EQ","418.40","424.85","415.80","417.05","417.70","418.20","420.30","427.80","156.55","11,63,079","48,88,45,408.45","19,448"
"31-Dec-2013","EQ","416.30","426.80","410.50","413.90","416.75","417.05","419.56","427.80","156.55","21,26,750","89,22,92,426.15","39,059"
"30-Dec-2013","EQ","396.50","427.80","391.00","394.55","413.10","413.90","413.90","427.80","156.55","50,20,118","2,07,78,28,765.50","94,353"
"27-Dec-2013","EQ","371.20","406.50","357.35","368.60","393.25","394.55","389.44","406.50","156.55","44,37,139","1,72,79,77,427.95","80,733"
"26-Dec-2013","EQ","373.70","379.90","366.00","371.05","367.00","368.60","372.63","379.90","156.55","6,26,607","23,34,92,633.20","12,344"
"24-Dec-2013","EQ","366.50","377.40","365.05","364.50","371.50","371.05","371.57","377.40","156.55","9,23,995","34,33,24,942.65","18,492"
"23-Dec-2013","EQ","361.90","371.65","360.10","361.90","366.00","364.50","365.87","371.65","156.55","6,28,783","23,00,51,769.40","12,198"
"20-Dec-2013","EQ","358.00","366.80","356.25","359.05","360.55","361.90","362.25","367.90","156.55","7,43,685","26,94,03,143.10","15,249"
"19-Dec-2013","EQ","353.80","367.90","347.00","353.15","358.35","359.05","360.27","367.90","156.55","15,32,088","55,19,70,596.75","31,780"
"18-Dec-2013","EQ","342.00","357.80","337.05","341.70","351.50","353.15","350.39","358.55","156.55","13,85,025","48,53,05,365.50","27,771"
"17-Dec-2013","EQ","350.40","358.55","338.65","347.20","341.40","341.70","351.10","358.55","156.55","20,47,339","71,88,26,701.70","44,168"
"16-Dec-2013","EQ","317.00","351.40","314.50","315.10","349.00","347.20","338.24","351.40","156.55","29,59,266","1,00,09,53,499.15","47,329"
"13-Dec-2013","EQ","315.50","324.50","313.25","317.70","316.75","315.10","319.57","344.95","156.55","6,08,138","19,43,43,351.70","11,785"
"12-Dec-2013","EQ","327.00","327.40","315.55","327.70","318.90","317.70","320.80","344.95","156.55","4,93,717","15,83,86,466.85","10,374"
"11-Dec-2013","EQ","326.80","332.90","324.80","326.65","327.50","327.70","329.17","344.95","156.55","12,68,532","41,75,63,792.65","22,619"
"10-Dec-2013","EQ","316.60","331.50","316.55","316.60","327.00","326.65","325.05","344.95","156.55","19,01,080","61,79,47,790.00","34,303"
"09-Dec-2013","EQ","320.25","323.90","307.50","313.25","316.55","316.60","316.50","344.95","156.55","12,59,959","39,87,72,890.25","23,945"
"06-Dec-2013","EQ","312.00","326.90","310.00","308.60","314.90","313.25","319.30","344.95","156.55","16,89,019","53,93,05,340.30","32,226"
"05-Dec-2013","EQ","335.00","338.90","305.00","329.05","311.60","308.60","319.28","344.95","156.55","21,06,533","67,25,82,812.70","41,144"
"04-Dec-2013","EQ","293.00","344.95","292.95","292.35","329.00","329.05","329.23","344.95","156.55","59,89,613","1,97,19,79,282.50","1,06,264"
"03-Dec-2013","EQ","288.60","296.70","288.60","293.30","293.00","292.35","293.28","306.90","156.55","2,73,991","8,03,55,270.30","5,358"
"02-Dec-2013","EQ","301.00","302.70","291.70","299.65","292.15","293.30","294.72","306.90","156.55","3,84,739","11,33,91,178.15","8,818"
"29-Nov-2013","EQ","294.30","306.90","288.30","292.50","300.00","299.65","298.84","306.90","156.55","19,16,973","57,28,64,474.40","36,314"
"28-Nov-2013","EQ","277.00","306.40","276.00","272.20","293.00","292.50","292.60","306.40","156.55","26,85,244","78,57,00,054.90","48,118"
"27-Nov-2013","EQ","264.00","274.50","261.10","261.95","274.50","272.20","268.23","275.00","156.55","8,50,324","22,80,84,843.95","18,574"
"26-Nov-2013","EQ","254.70","275.00","254.50","252.45","262.00","261.95","265.71","275.00","156.55","14,27,052","37,91,79,603.70","27,517"
"25-Nov-2013","EQ","248.00","258.85","248.00","244.20","252.10","252.45","252.76","258.85","156.55","10,47,435","26,47,51,515.15","15,759"
