"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2016","EQ","1,391.00","1,419.00","1,383.00","1,380.45","1,400.00","1,405.20","1,408.26","2,403.00","1,021.25","4,05,098","57,04,84,193.95","13,765"
"29-Dec-2016","EQ","1,360.00","1,388.00","1,355.50","1,352.30","1,385.05","1,380.45","1,377.58","2,403.00","1,021.25","5,25,737","72,42,46,910.60","18,830"
"28-Dec-2016","EQ","1,332.50","1,373.80","1,332.50","1,330.10","1,358.00","1,352.30","1,354.91","2,403.00","1,021.25","4,72,787","64,05,85,968.20","17,958"
"27-Dec-2016","EQ","1,301.00","1,333.00","1,287.80","1,296.85","1,330.00","1,330.10","1,315.95","2,403.00","1,021.25","4,88,891","64,33,57,868.05","19,369"
"26-Dec-2016","EQ","1,314.25","1,315.00","1,286.55","1,323.35","1,296.60","1,296.85","1,298.30","2,403.00","1,021.25","2,39,388","31,07,97,016.10","9,566"
"23-Dec-2016","EQ","1,351.25","1,351.95","1,310.00","1,358.35","1,327.00","1,323.35","1,324.63","2,403.00","1,021.25","5,77,251","76,46,43,061.50","21,758"
"22-Dec-2016","EQ","1,406.00","1,406.00","1,351.25","1,408.40","1,351.25","1,358.35","1,366.80","2,403.00","1,021.25","4,76,263","65,09,56,850.35","16,732"
"21-Dec-2016","EQ","1,434.00","1,434.75","1,402.20","1,424.30","1,407.15","1,408.40","1,415.57","2,403.00","1,021.25","2,03,010","28,73,74,601.80","8,661"
"20-Dec-2016","EQ","1,417.25","1,447.70","1,415.00","1,414.45","1,429.15","1,424.30","1,430.21","2,403.00","1,021.25","4,44,687","63,59,93,655.65","18,265"
"19-Dec-2016","EQ","1,446.00","1,453.00","1,407.00","1,446.15","1,414.40","1,414.45","1,417.83","2,403.00","1,021.25","2,97,864","42,23,21,271.30","11,861"
"16-Dec-2016","EQ","1,462.70","1,472.00","1,442.00","1,457.30","1,446.00","1,446.15","1,451.05","2,403.00","1,021.25","2,21,309","32,11,30,497.75","13,913"
"15-Dec-2016","EQ","1,450.00","1,486.95","1,439.70","1,455.65","1,455.00","1,457.30","1,465.38","2,403.00","1,021.25","3,44,009","50,41,04,143.75","15,741"
"14-Dec-2016","EQ","1,488.00","1,488.00","1,450.20","1,487.40","1,454.95","1,455.65","1,468.72","2,403.00","1,021.25","3,12,417","45,88,53,976.55","13,700"
"13-Dec-2016","EQ","1,484.00","1,498.00","1,465.50","1,483.50","1,483.55","1,487.40","1,484.14","2,403.00","1,021.25","7,27,349","1,07,94,88,184.95","28,973"
"12-Dec-2016","EQ","1,435.00","1,495.00","1,425.05","1,425.35","1,483.00","1,483.50","1,468.29","2,403.00","1,021.25","13,44,127","1,97,35,67,003.35","47,708"
"09-Dec-2016","EQ","1,396.00","1,436.90","1,378.00","1,389.35","1,430.00","1,425.35","1,412.78","2,403.00","1,021.25","7,94,633","1,12,26,40,976.15","30,314"
"08-Dec-2016","EQ","1,398.90","1,405.00","1,376.15","1,379.95","1,392.90","1,389.35","1,390.37","2,403.00","1,021.25","3,97,500","55,26,71,093.65","22,958"
"07-Dec-2016","EQ","1,394.90","1,404.25","1,365.75","1,380.60","1,385.35","1,379.95","1,382.59","2,403.00","1,021.25","6,66,738","92,18,25,360.55","33,039"
