"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2018","EQ","977.95","977.95","958.30","977.15","966.50","964.05","969.28","1,839.95","792.30","3,62,876","35,17,27,414.95","9,708"
"29-Dec-2017","EQ","945.00","984.85","945.00","943.65","975.95","977.15","972.44","1,839.95","792.30","13,18,993","1,28,26,44,084.05","27,399"
"28-Dec-2017","EQ","954.05","958.00","938.75","952.00","943.05","943.65","949.85","1,839.95","792.30","2,90,806","27,62,22,298.70","8,633"
"27-Dec-2017","EQ","964.80","971.00","946.00","961.55","953.50","952.00","961.59","1,839.95","792.30","4,12,791","39,69,35,763.55","10,577"
"26-Dec-2017","EQ","957.50","964.00","950.00","956.80","961.85","961.55","957.91","1,839.95","792.30","3,04,014","29,12,17,594.70","10,484"
"22-Dec-2017","EQ","956.80","969.50","944.40","951.60","958.00","956.80","957.84","1,839.95","792.30","5,89,186","56,43,47,798.55","14,686"
"21-Dec-2017","EQ","967.75","967.75","948.70","960.15","954.00","951.60","955.83","1,839.95","792.30","3,53,105","33,75,08,388.45","16,339"
"20-Dec-2017","EQ","935.00","967.45","934.90","939.05","961.35","960.15","956.82","1,839.95","792.30","8,10,937","77,59,20,993.30","20,761"
"19-Dec-2017","EQ","934.45","946.20","931.00","931.25","938.90","939.05","939.84","1,839.95","792.30","3,57,127","33,56,42,394.60","12,016"
"18-Dec-2017","EQ","920.00","941.50","893.00","924.75","932.50","931.25","927.10","1,839.95","792.30","3,71,533","34,44,47,202.60","9,265"
"15-Dec-2017","EQ","925.00","934.65","918.00","915.80","918.00","924.75","925.38","1,839.95","792.30","3,28,782","30,42,47,200.90","11,416"
"14-Dec-2017","EQ","927.00","927.00","882.40","919.55","909.65","915.80","905.35","1,839.95","792.30","6,11,659","55,37,67,309.00","16,726"
"13-Dec-2017","EQ","936.40","943.00","914.50","932.70","918.95","919.55","929.69","1,839.95","792.30","3,52,450","32,76,68,716.95","9,853"
"12-Dec-2017","EQ","953.70","953.70","928.80","948.80","933.20","932.70","940.67","1,839.95","792.30","3,37,991","31,79,39,070.85","10,612"
"11-Dec-2017","EQ","930.50","954.80","927.10","927.70","951.60","948.80","947.30","1,839.95","792.30","6,49,474","61,52,49,780.75","22,692"
"08-Dec-2017","EQ","937.35","941.50","921.20","932.85","926.00","927.70","932.82","1,839.95","792.30","3,49,535","32,60,52,196.55","12,617"
"07-Dec-2017","EQ","911.80","936.00","910.00","909.85","932.50","932.85","925.43","1,839.95","792.30","6,17,611","57,15,57,265.05","19,793"
"06-Dec-2017","EQ","930.00","933.80","904.35","934.55","912.00","909.85","920.42","1,839.95","792.30","3,51,936","32,39,27,228.45","18,202"
"05-Dec-2017","EQ","923.05","941.80","918.10","923.05","934.00","934.55","933.10","1,839.95","792.30","5,57,961","52,06,32,446.95","22,100"
